DATA_JOGO,CONFRONTO,RESULTADO,MINUTOS,CESTAS_CONVERTIDAS,CESTAS_TENTADAS,CESTAS_3PTS,CESTAS_3PTS_TENTADAS,PONTOS,REBOTES,ASSISTENCIAS,ROUBOS,TOCOS,ADVERSARIO,PONTOS_20+,PONTOS_MENOS20
"Nov 15, 2023",LAL vs. SAC,L,35,9,15,3,7,28,10,12,4,1,SAC,True,False
"Nov 14, 2023",LAL vs. MEM,W,23,6,11,3,6,16,9,6,1,0,MEM,False,True
"Nov 10, 2023",LAL @ PHX,W,36,11,17,3,4,32,11,6,1,1,PHX,True,False
"Nov 08, 2023",LAL @ HOU,L,27,7,13,0,2,18,6,2,0,0,HOU,False,True
"Nov 06, 2023",LAL @ MIA,L,37,13,23,0,4,30,4,3,1,3,MIA,True,False
"Nov 04, 2023",LAL @ ORL,L,35,8,15,2,5,24,9,5,3,0,ORL,True,False
"Nov 01, 2023",LAL vs. LAC,W,42,13,19,4,8,35,12,7,1,2,LAC,True,False
"Oct 30, 2023",LAL vs. ORL,W,33,7,17,2,6,19,3,4,3,1,ORL,False,True
"Oct 29, 2023",LAL @ SAC,L,39,11,19,3,8,27,15,8,0,0,SAC,True,False
"Oct 26, 2023",LAL vs. PHX,W,35,7,14,1,5,21,8,9,2,2,PHX,True,False
"Oct 24, 2023",LAL @ DEN,L,29,10,16,1,4,21,8,5,1,0,DEN,True,False
